year,munich_avg_temp,berlin_avg_temp,hamburg_avg_temp,global_avg_temp
1750,5.40,9.83,9.31,8.72
1751,5.54,9.75,8.94,7.98
1752,0.53,4.84,4.65,5.78
1753,4.61,8.72,8.12,8.39
1754,4.33,8.49,7.88,8.47
1755,4.05,8.26,7.69,8.36
1756,4.64,9.62,8.64,8.85
1757,4.30,9.15,8.48,9.02
1758,3.83,8.25,7.76,6.74
1759,4.89,9.04,8.69,7.99
1760,5.02,8.99,8.36,7.19
1761,4.94,9.47,8.86,8.77
1762,4.49,8.53,7.81,8.61
1763,4.25,8.62,7.80,7.50
1764,4.82,8.91,8.25,8.40
1765,4.52,8.54,7.91,8.25
1766,4.28,8.87,8.27,8.41
1767,3.85,8.14,7.59,8.22
1768,3.84,8.03,7.64,6.78
1769,4.43,8.46,7.97,7.69
1770,4.36,8.50,7.98,7.69
1771,4.19,7.45,7.10,7.85
1772,5.81,9.13,8.26,8.19
1773,4.76,9.52,8.94,8.22
1774,4.43,8.46,7.76,8.77
1775,5.03,10.10,9.27,9.18
1776,4.21,8.36,8.00,8.30
1777,4.28,8.29,7.79,8.26
1778,5.21,9.43,8.68,8.54
1779,5.53,10.47,9.91,8.98
1780,4.71,8.78,8.27,9.43
1781,5.48,9.98,9.32,8.10
1782,3.96,8.61,7.67,7.90
1783,5.22,9.76,9.08,7.68
1784,3.67,7.67,6.92,7.86
1785,3.35,7.42,7.02,7.36
1786,3.71,7.68,7.06,8.26
1787,4.83,9.27,8.50,8.03
1788,4.69,8.33,7.82,8.45
1789,4.26,8.99,8.29,8.33
1790,4.91,9.09,8.48,7.98
1791,5.09,9.55,8.79,8.23
1792,4.77,8.90,8.32,8.09
1793,5.06,9.18,8.51,8.23
1794,5.54,10.02,9.24,8.53
1795,4.59,8.87,8.04,8.35
1796,4.65,9.01,8.46,8.27
1797,5.55,10.07,9.16,8.51
1798,4.81,9.33,8.83,8.67
1799,3.26,6.72,6.31,8.51
1800,5.02,8.60,7.90,8.48
1801,5.31,9.61,8.80,8.59
1802,5.07,9.08,8.21,8.58
1803,4.20,8.02,7.39,8.50
1804,4.80,8.36,7.79,8.84
1805,3.09,7.20,6.72,8.56
1806,5.40,9.67,8.78,8.43
1807,5.05,9.42,8.44,8.28
1808,3.58,8.15,7.70,7.63
1809,4.61,8.66,7.91,7.08
1810,4.72,8.46,7.76,6.92
1811,5.70,9.93,9.25,6.86
1812,3.39,7.35,6.91,7.05
1813,3.87,8.66,8.16,7.74
1814,3.46,7.46,6.88,7.59
1815,4.01,8.38,7.90,7.24
1816,2.96,7.75,7.06,6.94
1817,4.21,8.92,8.22,6.98
1818,4.66,9.00,8.59,7.83
1819,4.97,9.43,8.87,7.37
1820,3.88,7.86,7.30,7.62
1821,4.59,9.15,8.47,8.09
1822,5.85,10.05,9.50,8.19
1823,4.22,8.26,7.65,7.72
1824,4.89,9.61,8.89,8.55
1825,5.07,9.32,8.85,8.39
1826,4.81,9.35,9.04,8.36
1827,4.71,8.99,8.25,8.81
1828,5.02,8.94,8.52,8.17
1829,2.79,6.52,6.06,7.94
1830,3.90,8.08,7.42,8.52
1831,4.82,8.93,8.74,7.64
1832,4.25,8.34,7.97,7.45
1833,4.45,8.89,8.31,8.01
1834,5.72,10.40,9.79,8.15
1835,4.07,8.81,8.32,7.39
1836,4.40,8.88,8.15,7.70
1837,3.68,8.12,7.61,7.38
1838,3.29,6.98,6.54,7.51
1839,4.66,8.63,7.87,7.63
1840,3.66,7.74,7.29,7.80
1841,5.16,9.06,8.25,7.69
1842,4.09,8.51,8.44,8.02
1843,4.48,9.18,8.49,8.17
1844,4.03,7.85,7.18,7.65
1845,3.73,7.92,7.24,7.85
1846,5.54,9.84,9.45,8.55
1847,3.90,8.24,7.85,8.09
1848,4.61,8.75,8.25,7.98
1849,4.37,8.03,7.50,7.98
1850,3.84,8.20,7.67,7.90
1851,3.66,8.50,8.02,8.18
1852,5.02,9.54,8.84,8.10
1853,3.69,7.55,6.90,8.04
1854,4.08,8.69,8.21,8.21
1855,3.52,7.07,6.38,8.11
1856,4.30,8.50,7.66,8.00
1857,4.41,9.39,8.93,7.76
1858,3.63,7.97,7.72,8.10
1859,5.07,9.60,9.10,8.25
1860,3.41,8.00,7.27,7.96
1861,4.62,8.87,8.36,7.85
1862,5.39,8.91,8.43,7.56
1863,5.35,9.81,9.09,8.11
1864,3.26,6.99,6.75,7.98
1865,4.75,8.88,8.34,8.18
1866,5.01,9.44,8.76,8.29
1867,4.44,8.41,7.69,8.44
1868,5.54,10.24,9.57,8.25
1869,4.69,9.06,8.23,8.43
1870,3.57,7.57,7.25,8.20
1871,3.53,7.08,6.83,8.12
1872,5.51,9.97,9.26,8.19
1873,4.77,9.27,8.61,8.35
1874,4.18,9.08,8.47,8.43
1875,3.96,8.04,7.86,7.86
1876,4.64,8.64,7.99,8.08
1877,4.79,8.95,8.11,8.54
1878,4.26,9.38,8.71,8.83
1879,3.53,7.46,6.61,8.17
1880,4.74,9.08,8.44,8.12
1881,4.24,7.75,7.09,8.27
1882,4.58,9.28,8.73,8.13
1883,4.16,8.54,8.15,7.98
1884,4.67,9.20,8.89,7.77
1885,4.47,8.47,7.78,7.92
1886,4.61,8.55,7.98,7.95
1887,3.41,7.93,7.41,7.91
1888,3.69,7.61,6.95,8.09
1889,3.72,8.34,7.91,8.32
1890,3.67,8.35,7.76,7.97
1891,3.70,8.48,7.79,8.02
1892,4.45,8.28,7.44,8.07
1893,4.44,8.50,8.05,8.06
1894,4.52,8.96,8.52,8.16
1895,4.00,8.28,7.59,8.15
1896,3.84,8.57,8.21,8.21
1897,4.67,8.69,8.14,8.29
1898,5.13,9.42,8.69,8.18
1899,4.72,8.96,8.52,8.40
1900,5.00,9.16,8.53,8.50
1901,4.01,8.58,8.04,8.54
1902,4.24,7.63,7.15,8.30
1903,4.57,9.28,8.67,8.22
1904,5.07,9.15,8.47,8.09
1905,4.31,8.90,8.26,8.23
1906,4.48,9.31,8.73,8.38
1907,4.38,8.52,7.91,7.95
1908,3.98,8.35,8.01,8.19
1909,3.75,8.16,7.52,8.18
1910,4.47,9.33,8.92,8.22
1911,5.22,9.89,9.36,8.18
1912,4.13,8.49,8.14,8.17
1913,4.66,9.41,8.92,8.30
1914,4.43,9.50,9.21,8.59
1915,4.39,8.56,7.78,8.59
1916,4.90,9.30,8.37,8.23
1917,3.91,8.39,7.81,8.02
1918,4.75,9.42,8.60,8.13
1919,3.85,8.00,7.32,8.38
1920,5.29,9.37,8.73,8.36
1921,5.48,9.78,9.21,8.57
1922,3.93,7.76,7.27,8.41
1923,4.88,8.58,7.78,8.42
1924,4.11,8.30,7.75,8.51
1925,4.42,9.32,8.67,8.53
1926,5.11,9.57,8.85,8.73
1927,4.86,8.72,8.13,8.52
1928,5.19,8.92,8.32,8.63
1929,4.13,7.99,7.34,8.24
1930,5.24,9.48,8.94,8.63
1931,3.88,8.35,7.91,8.72
1932,4.61,9.23,8.82,8.71
1933,3.88,8.32,8.31,8.34
1934,5.59,10.69,9.96,8.63
1935,4.57,9.34,8.85,8.52
1936,4.88,9.30,8.70,8.55
1937,5.20,9.41,8.77,8.70
1938,4.82,9.77,9.37,8.86
1939,4.49,9.32,8.87,8.76
1940,3.45,7.04,6.67,8.76
1941,3.80,7.62,7.25,8.77
1942,4.28,7.80,7.14,8.73
1943,5.56,9.67,9.10,8.76
1944,4.28,9.31,8.78,8.85
1945,5.20,9.64,9.25,8.58
1946,5.14,9.12,8.47,8.68
1947,5.51,8.79,8.24,8.80
1948,5.49,9.96,9.35,8.75
1949,5.55,10.04,9.48,8.59
1950,5.44,9.37,8.77,8.37
1951,5.29,9.72,8.91,8.63
1952,4.67,8.61,7.93,8.64
1953,5.22,10.13,9.34,8.87
1954,4.27,8.41,7.98,8.56
1955,4.39,8.36,7.96,8.63
1956,3.58,7.57,7.29,8.28
1957,5.11,9.46,8.92,8.73
1958,4.93,9.05,8.39,8.77
1959,5.51,9.88,9.36,8.73
1960,4.97,9.22,8.63,8.58
1961,5.85,9.81,9.16,8.80
1962,3.94,8.13,7.54,8.75
1963,3.99,8.12,7.30,8.86
1964,4.92,8.84,8.23,8.41
1965,4.08,8.33,7.84,8.53
1966,5.10,9.34,8.46,8.60
1967,5.18,10.08,9.38,8.70
1968,4.68,9.28,8.67,8.52
1969,4.42,8.43,8.09,8.60
1970,4.41,8.43,7.91,8.70
1971,4.86,9.54,8.92,8.60
1972,4.69,8.88,8.30,8.50
1973,4.57,9.24,8.80,8.95
1974,5.23,9.89,9.21,8.47
1975,5.20,10.08,9.44,8.74
1976,4.95,9.15,8.72,8.35
1977,5.32,9.54,8.93,8.85
1978,4.32,8.86,8.27,8.69
1979,4.87,8.53,7.63,8.73
1980,4.19,8.26,8.00,8.98
1981,4.82,9.18,8.40,9.17
1982,5.51,10.08,9.09,8.64
1983,5.60,10.21,9.41,9.03
1984,4.43,8.94,8.44,8.69
1985,4.52,8.46,7.66,8.66
1986,4.85,8.78,8.09,8.83
1987,4.69,8.09,7.55,8.99
1988,5.64,10.02,9.35,9.20
1989,5.88,10.72,9.93,8.92
1990,5.92,10.71,10.08,9.23
1991,4.93,9.36,8.79,9.18
1992,5.91,10.38,9.84,8.84
1993,5.33,9.34,8.57,8.87
1994,6.64,10.43,9.73,9.04
1995,5.33,9.75,9.16,9.35
1996,4.49,7.88,7.42,9.04
1997,5.79,9.73,9.27,9.20
1998,5.66,10.05,9.31,9.52
1999,5.55,10.58,10.02,9.29
2000,6.33,10.96,10.12,9.20
2001,5.59,9.69,9.19,9.41
2002,6.26,10.26,9.86,9.57
2003,6.12,10.07,9.48,9.53
2004,5.43,9.82,9.48,9.32
2005,5.01,9.92,9.58,9.70
2006,5.94,10.55,10.15,9.53
2007,6.28,10.88,10.37,9.73
2008,5.94,10.66,10.04,9.43
2009,5.89,10.06,9.61,9.51
2010,4.85,8.61,7.97,9.70
2011,6.56,10.56,9.73,9.52
2012,5.88,9.96,9.20,9.51
2013,6.00,10.12,9.17,9.61
